Brain**;Denmark;Finland;Norway;Sweden;Denmark;Finland;Norway;Sweden
1971-1975;45.9[37.9-55.6];60.9[52.2-70.9];70.2[61.8-79.8];62.5[57.4-68.0];55.4[49.5-62.0];71.1[66.9-75.6];74.2[69.8-78.8];74.2[71.2-77.2]
1976-1980;51.4[42.5-62.0];68.4[60.7-77.1];75.5[68.5-83.1];68.1[62.7-74.0];56.7[51.3-62.6]*;73.2[69.7-76.9];83.1[79.3-87.2];77.2[74.4-80.2]
1981-1985;51.0[42.9-60.6];72.8[65.5-80.9];82.3[75.6-89.5];70.5[65.8-75.5];68.7[63.5-74.3];77.2[73.9-80.6];83.3[79.8-87.0];82.9[80.3-85.6]
1986-1990;61.4[52.5-71.8];72.9[65.3-81.4];75.2[68.4-82.7];78.0[73.1-83.2];72.1[66.9-77.7];81.5[78.1-84.9];85.4[81.8-89.1];83.1[80.5-85.8]
1991-1995;74.3[65.4-84.5];79.3[72.8-86.4];75.2[67.6-83.8];78.1[73.1-83.4];77.6[72.3-83.3];85.0[82.2-87.9];88.9[85.6-92.4];83.9[81.2-86.7]
1996-2000;72.2[64.3-81.1];78.8[73.3-84.6];79.3[72.2-87.1];80.2[75.5-85.3];73.9[69.1-79.1]*;90.5[88.0-93.0];85.0[81.1-89.0];86.4[83.7-89.1]
2001-2005;74.3[67.1-82.3];83.3[78.1-88.9];85.6[79.7-92.0];82.6[78.2-87.4];81.1[76.6-85.9];87.7[85.0-90.4];89.3[86.1-92.7];87.5[85.1-90.1]
2006-2010;79.1[72.8-86.0];85.6[80.9-90.5];85.4[80.7-90.3];80.6[76.7-84.7];85.3[81.4-89.3]*;91.5[89.4-93.8];91.7[88.9-94.5];89.0[86.7-91.3]
2011-2015;86.1[81.5-90.9];86.5[83.0-90.3];87.7[83.6-91.9];86.7[83.4-90.0];90.6[88.0-93.2];95.0[93.4-96.7];91.9[89.5-94.3];92.1[90.3-94.0]
2016-2020;89.3[86.0-92.8];85.9[82.5-89.4];87.5[83.9-91.3];89.4[86.6-92.3];92.2[89.7-94.7];95.4[93.8-97.0];94.5[92.6-96.4];92.6[91.0-94.3]
